receipt_id,budget_year,project_code,official_title,plain_language_title,plain_language_description,amount,currency,sector,ministry,department,agency,state,area_council,community,location_raw,location_confidence,data_confidence,source_document,source_page,source_section,source_excerpt,source_url
PR-NG-FCT-2026-000001,2026,ERGP12238012,"CONSTRUCTION OF RURAL ROAD AT PIRI COMMUNITY, KWALI AREA COUNCIL, FCT SENATORIAL DISTRICT, ABUJA",,,140000000,NGN,roads_transport,"Federal Ministry of Industry, Trade and Investment",,,Federal Capital Territory,Kwali,Piri,"Piri Community, Kwali Area Council, FCT Senatorial District, Abuja",high,high,2026 Appropriation Act Details,"PDF 994; printed page 963","Federal Ministry of Industry, Trade and Investment - HQTRS","ERGP12238012 CONSTRUCTION OF RURAL ROAD AT PIRI COMMUNITY, KWALI AREA COUNCIL, FCT SENATORIAL DISTRICT, ABUJA ONGOING 140,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000002,2026,ERGP23201700,CONSTRUCTION OF 1000 CAPACITY MULTIPURPOSE HALL,,,70000000,NGN,education,Federal Ministry of Education,,FGC Kwali,Federal Capital Territory,Kwali,,FGC Kwali,high,high,2026 Appropriation Act Details,"PDF 2121; printed page 2090","0517026019 FGC KWALI","0517026019 FGC KWALI; ERGP23201700 CONSTRUCTION OF 1000 CAPACITY MULTIPURPOSE HALL ONGOING 70,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000003,2026,ERGP23226254,RENOVATION OF 1 NO JSS 3 BLOCK OF 8 CLASSROOMS,,,32200000,NGN,education,Federal Ministry of Education,,FGC Kwali,Federal Capital Territory,Kwali,,FGC Kwali,high,high,2026 Appropriation Act Details,"PDF 2121; printed page 2090","0517026019 FGC KWALI","0517026019 FGC KWALI; ERGP23226254 RENOVATION OF 1 NO JSS 3 BLOCK OF 8 CLASSROOMS ONGOING 32,200,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000004,2026,ERGP23226307,RENOVATION OF 1 NO JSS 2 BLOCK OF 8 CLASSROOMS,,,32200000,NGN,education,Federal Ministry of Education,,FGC Kwali,Federal Capital Territory,Kwali,,FGC Kwali,high,high,2026 Appropriation Act Details,"PDF 2121; printed page 2090","0517026019 FGC KWALI","0517026019 FGC KWALI; ERGP23226307 RENOVATION OF 1 NO JSS 2 BLOCK OF 8 CLASSROOMS ONGOING 32,200,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000005,2026,ERGP23226338,RENOVATION OF BASIC SCIENCE LABORATORY,,,24500000,NGN,education,Federal Ministry of Education,,FGC Kwali,Federal Capital Territory,Kwali,,FGC Kwali,high,high,2026 Appropriation Act Details,"PDF 2121; printed page 2090","0517026019 FGC KWALI","0517026019 FGC KWALI; ERGP23226338 RENOVATION OF BASIC SCIENCE LABORATORY ONGOING 24,500,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000006,2026,ERGP23226394,PURCHASE OF 150 CLASSROOM TABLES AND 150 CLASSROOM CHAIRS FOR STUDENTS,,,24162864,NGN,education,Federal Ministry of Education,,FGC Kwali,Federal Capital Territory,Kwali,,FGC Kwali,high,high,2026 Appropriation Act Details,"PDF 2121; printed page 2090","0517026019 FGC KWALI","0517026019 FGC KWALI; ERGP23226394 PURCHASE OF 150 CLASSROOM TABLES AND 150 CLASSROOM CHAIRS FOR STUDENTS ONGOING 24,162,864",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000007,2026,ERGP23226415,RENOVATION OF E-LIBRARY,,,38500000,NGN,education,Federal Ministry of Education,,FGC Kwali,Federal Capital Territory,Kwali,,FGC Kwali,high,high,2026 Appropriation Act Details,"PDF 2121; printed page 2090","0517026019 FGC KWALI","0517026019 FGC KWALI; ERGP23226415 RENOVATION OF E-LIBRARY ONGOING 38,500,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000008,2026,ERGP27226434,RENOVATION OF PRINCIPAL'S QUARTERS,,,24500000,NGN,education,Federal Ministry of Education,,FGC Kwali,Federal Capital Territory,Kwali,,FGC Kwali,high,high,2026 Appropriation Act Details,"PDF 2121; printed page 2090","0517026019 FGC KWALI","0517026019 FGC KWALI; ERGP27226434 RENOVATION OF PRINCIPAL'S QUARTERS ONGOING 24,500,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000009,2026,ERGP23232485,SIX SETS OF DESKTOP COMPUTERS,,,5603575,NGN,education,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232485 SIX SETS OF DESKTOP COMPUTERS ONGOING 5,603,575",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000010,2026,ERGP23232486,RENOVATION AND REHABILITATION OF 4 (FOUR) BUNGALOWS OF VP QUARTERS,,,35000000,NGN,education,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232486 RENOVATION AND REHABILITATION OF 4 (FOUR) BUNGALOWS OF VP QUARTERS ONGOING 35,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000011,2026,ERGP23232488,LAPTOP COMPUTERS,,,7000000,NGN,education,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232488 LAPTOP COMPUTERS ONGOING 7,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000012,2026,ERGP23232489,FURNISHING OF PRINCIOAL'S QUARTERS HOUSE,,,4559289,NGN,education,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232489 FURNISHING OF PRINCIOAL'S QUARTERS HOUSE ONGOING 4,559,289",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
PR-NG-FCT-2026-000013,2026,ERGP23232490,SPORTS PAVILION COMPLEX,,,70000000,NGN,education,Federal Ministry of Education,,FGGC Abaji,Federal Capital Territory,Abaji,,FGGC Abaji,high,high,2026 Appropriation Act Details,"PDF 2151; printed page 2120","0517026041 FGGC ABAJI","0517026041 FGGC ABAJI; ERGP23232490 SPORTS PAVILION COMPLEX ONGOING 70,000,000",https://budgetoffice.gov.ng/index.php/2026-appropriation-act-details
